"Diagram Data","Price","Salesperson","Stock Number","Vehicle Information","Creation Date","unique id"
"1722022635675x943917086626807800","24900","1721936059223x586049240986026000","23411","1722022635675x588617488414801900","Jul 26, 2024 9:37 pm","1722022635675x820575806261297200"
"1722022636317x532525361170743300","25900","1721936059223x586049240986026000","23106","1722022636317x776802732556943400","Jul 26, 2024 9:37 pm","1722022636317x974611571020922900"
"1722022639642x839060372524892200","39900","1721936059223x586049240986026000","23112","1722022639642x966576997147869200","Jul 26, 2024 9:37 pm","1722022639642x793881641345351700"
"1722022640637x560831407079030800","31900","1721936059223x586049240986026000","23078","1722022640637x897868224726302700","Jul 26, 2024 9:37 pm","1722022640637x261611907800367100"
"1722022641497x110034420250968060","22900","1721936059223x586049240986026000","23234","1722022641497x433682436296540200","Jul 26, 2024 9:37 pm","1722022641497x111767687499087870"
"1722022642300x351694258013208600","16900","1721936059223x586049240986026000","23192","1722022642300x884819437020250100","Jul 26, 2024 9:37 pm","1722022642300x268442559705776130"
"1722022643199x220381293580648450","28900","1721936059223x586049240986026000","23237","1722022643199x172697329877909500","Jul 26, 2024 9:37 pm","1722022643199x232056124348563460"
"1722022644878x769155031153770500","26900","1721936059223x586049240986026000","23128","1722022644878x778231230797447200","Jul 26, 2024 9:37 pm","1722022644878x804741754647740400"
"1722022645805x636084488212316200","26900","1721936059223x586049240986026000","23235","1722022645805x532741606572818400","Jul 26, 2024 9:37 pm","1722022645805x820884418127986700"
"1722022646593x525226961819926500","32900","1721936059223x586049240986026000","23382","1722022646593x408623314235031550","Jul 26, 2024 9:37 pm","1722022646593x311051816720662500"
"1722022647419x667703518233624600","9900","1721936059223x586049240986026000","23180","1722022647419x198687825042604030","Jul 26, 2024 9:37 pm","1722022647419x643438018475851800"
"1723048987675x175457920822018050","27500","1723048806279x328777167745581060","M88263","1723048987675x956562706126602200","Aug 7, 2024 6:43 pm","1723048987675x259740271523659780"
"1723048988365x901478473385640000","30000","1723048806279x328777167745581060","N66679","1723048988365x455912233311666200","Aug 7, 2024 6:43 pm","1723048988365x298548175292334100"
"1723048989048x433711106857631740","19500","1723048806279x328777167745581060","U61284","1723048989048x980142200618221600","Aug 7, 2024 6:43 pm","1723048989048x906636688371220500"
"1723048990049x510126230018457600","69500","1723048806279x328777167745581060","245659","1723048990049x863021474257829900","Aug 7, 2024 6:43 pm","1723048990049x548279845677432800"
"1723048991924x655311966818795500","34500","1723048806279x328777167745581060","653103","1723048991924x151569056705806340","Aug 7, 2024 6:43 pm","1723048991924x995756540341518300"
"1723048992800x509391481276989400","40000","1723048806279x328777167745581060","439936","1723048992800x485537259090346000","Aug 7, 2024 6:43 pm","1723048992800x975161112593170400"
